species-name,common-name,common-name-th,common-name-th2,genus,family,images,num-images,num-observations,,
Garcinia binucao (Blanco) Choisy,,,,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/2c527574d4761c7ded7d4e6a9e4e60cd2a101d22', 'https://bs.plantnet.org/image/s/da7884ad562608675ec56e6224f6ff5a310f2558', 'https://bs.plantnet.org/image/s/297918b5d468e57d58c0aa2bf20ca0176257d473', 'https://api.plantnet.org/v1/gbif/3710915/map.png']",LC,3,,
Garcinia cochinchinensis (Lour.) Choisy,false mangosteen,มังคุดปลอม,mangosteen เท็จ,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/4f9bd868abc35819de38b9be3b242cfa1398c07c', 'https://bs.plantnet.org/image/s/6099108074fc8be30c051797a5fc86d9251f0f0c', 'https://bs.plantnet.org/image/s/6f1b1b450c6b4ac609cfcb2635e43c5095a75e9e', 'https://bs.plantnet.org/image/s/20739b3396cef2773272a6aa6356b7df447c579d', 'https://bs.plantnet.org/image/s/59ae89860cef817eda2368116fb49ea5fe4832a4', 'https://api.plantnet.org/v1/gbif/3715113/map.png']",EN,71,,
Garcinia dulcis (Roxb.) Kurz,eggtree,ต้นไข่,Eggtree,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/29cee148f82fa843ed4027261530c215b5a5978b', 'https://bs.plantnet.org/image/s/1d96c6c33e49ec188560c16dcb40889234e4efcf', 'https://bs.plantnet.org/image/s/ac07a6faa9aa56b6d0cd71b1812808a5ed50e887', 'https://bs.plantnet.org/image/s/ca21ed493078f78de1dcfe8498b62d71850b6ada', 'https://bs.plantnet.org/image/s/2289efcbfc1d971472fab6539a3ce34314b3e990', 'https://api.plantnet.org/v1/gbif/3189565/map.png']",LC,16,,
Garcinia griffithii T.Anderson,,,,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/d22e415fc5a9ebd7e5b6aee3ef9d8b902b1cbf29', 'https://bs.plantnet.org/image/s/d3b2cdb0d5709e7e8b5d2bce758f47e823bc4727', 'https://bs.plantnet.org/image/s/acf24312ec9c0f282f9cf32318ee467475388154', 'https://bs.plantnet.org/image/s/6aa7f23e47e57493b205d005e656cf90be969280', 'https://bs.plantnet.org/image/s/ca528f75e4447b6876a126227618042ffd084d05', 'https://api.plantnet.org/v1/gbif/3714442/map.png']",LC,8,,
Garcinia macrophylla Mart.,bacury-pary,คู่รักบาคิวรี่,Bacura-pary,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/fe94eb730452672cee287313a6b732e313867931', 'https://bs.plantnet.org/image/s/438ba42e9ccf2d87f7d28cc2687007cbee6a0bdb', 'https://bs.plantnet.org/image/s/6f40762c524afda451c8e35fcea9f98a9f27f904', 'https://bs.plantnet.org/image/s/4988da099a391633274282b3d43ed7d7329dfa60', 'https://api.plantnet.org/v1/gbif/7727026/map.png']",LC,4,,
Garcinia maingayi Hook.f. ex T.Anderson,,,,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/ec5b1919b14b18dd5ef936c075ba564f2960c148', 'https://api.plantnet.org/v1/gbif/7772601/map.png']",LC,1,,
Garcinia mangostana L.,mangosteen,มังคุด,มังคุด,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/5f721ea2e4833268f9aaa58ddd1702f2827b9948', 'https://bs.plantnet.org/image/s/536e8cb4c7a4e509a3be39775fac4632aea4ae32', 'https://bs.plantnet.org/image/s/91ff05120fc00cc20ee933acaaad7b520926aa2a', 'https://bs.plantnet.org/image/s/20a3fdd0ff17c219b5d616738333fe821a52a3de', 'https://bs.plantnet.org/image/s/f5947b6ad99fbf292410bbf2df4084cfe514d2f2', 'https://api.plantnet.org/v1/gbif/3189571/map.png']",DD,252,,
Garcinia nervosa Miq.,pear mangosteen,ลูกแพร์มังคุด,Mangosteen ลูกแพร์,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/5393cb0663c6a90c0d7b1b1d1acc018f6ae58a63', 'https://bs.plantnet.org/image/s/803629c6bdcf3f9e57f75ea54775fd85876202d0', 'https://bs.plantnet.org/image/s/b981c2fbe585cba4ea5bfc03355b97979a4a247f', 'https://bs.plantnet.org/image/s/3380120d09894400a02111416efce5af353ee085', 'https://bs.plantnet.org/image/s/ed1037bcd5cebfe7f56dabbd3e19552643910fb2', 'https://api.plantnet.org/v1/gbif/3713536/map.png']",LC,5,,
Garcinia xanthochymus Hook.f. ex T.Anderson,garcinia,ส้มแขก,การ์ซีเนีย,garcinia,clusiaceae,"['https://bs.plantnet.org/image/s/a809bc0cca725a9a513b90ef4cf610f342ec0c99', 'https://bs.plantnet.org/image/s/765d3380fb52d35d3810e14a2a804d349adc158c', 'https://bs.plantnet.org/image/s/042c20d1352258d8df27b4bdfdfe49c890e81b12', 'https://bs.plantnet.org/image/s/356fbe9e17148c68cd58a1247efe0e831cd4ef5e', 'https://bs.plantnet.org/image/s/2f9de5b1a395fe54659467e9a95a32a2ec835764', 'https://api.plantnet.org/v1/gbif/8231835/map.png']",LC,27,,
Gardenia carinata Wall. ex Roxb.,golden gardenia,พุดทอง,Golden Gardenia,gardenia,rubiaceae,"['https://bs.plantnet.org/image/s/e3f7bdb68131f352835afa6f61853973f4f6dea4', 'https://bs.plantnet.org/image/s/4fba60d69a71ba7923b8b3626e46fdb26ead8061', 'https://bs.plantnet.org/image/s/51e9f10e72abbeb5c26f30b6e7baed995a3b6978', 'https://bs.plantnet.org/image/s/b6019a6e9f18d7b1201bf0e9765071d750cca63a', 'https://bs.plantnet.org/image/s/ae2f142b3b364a3e2b4d06c222bdd9e131ea9cab', 'https://api.plantnet.org/v1/gbif/5334934/map.png']",LC,40,,
Gardenia jasminoides J.Ellis,gardenia,พุด,พุด,gardenia,rubiaceae,"['https://bs.plantnet.org/image/s/667387649b11b1b046992286b1c35ed6de9d850b', 'https://bs.plantnet.org/image/s/653f4569f12ac50eb7dc0eee414585ee03c094cf', 'https://bs.plantnet.org/image/s/48a18656d75287b05c0e5652996a3e6a1a13770d', 'https://bs.plantnet.org/image/s/ea423fefef7639a7bd5be99d51aacb3493dc38f5', 'https://bs.plantnet.org/image/s/1bbadbcd016720fb55f85b3de8cdc8e612410b52', 'https://api.plantnet.org/v1/gbif/5335125/map.png']",LC,2411,,
Gardenia tubifera Wall. ex Roxb.,kula gardenia,กินพุด,กินพุด,gardenia,rubiaceae,"['https://bs.plantnet.org/image/s/cd1d348bbde2733e50fa9868f36efaed3658260f', 'https://bs.plantnet.org/image/s/db0797706ad2449814828add73c012dce7c303d8', 'https://bs.plantnet.org/image/s/dc0a168e280cd65b666439b59da816ee6287bdbd', 'https://bs.plantnet.org/image/s/40c63c3cb32883c2f7c373ef74a359a796f28679', 'https://bs.plantnet.org/image/s/10cba214722c90e419f65eef6326ca2cc967e0da', 'https://api.plantnet.org/v1/gbif/5334954/map.png']",LC,16,,
Genipa americana L.,genip,เกนิป,ยีน,genipa,rubiaceae,"['https://bs.plantnet.org/image/s/3cc4e9eec708ac24e4995f7e47f29710c6af66ac', 'https://bs.plantnet.org/image/s/b803462acd92dbab05e3c4448fcd8fc416485314', 'https://bs.plantnet.org/image/s/a88d7ba5fdb34a842bd98577b711dfcc4a156fb2', 'https://bs.plantnet.org/image/s/82b16f11585efcc74efba0e2d0d6f64c8fe38d51', 'https://bs.plantnet.org/image/s/dc0b570e7813690b61b7f2d45ae79d40da4cd9e0', 'https://api.plantnet.org/v1/gbif/2895593/map.png']",LC,369,,
Geophila repens (L.) I.M.Johnst.,corrida yerba de guava,การแข่งขันฝรั่ง yerba,การแข่งขัน Yerba de Guava,geophila,rubiaceae,"['https://bs.plantnet.org/image/s/5c51bec8e07897c579ab17c5df3dab060b739cae', 'https://bs.plantnet.org/image/s/6dde1fed5f6b0b95d654bfca3c862e7918db0f94', 'https://bs.plantnet.org/image/s/e05d4fb76da3a2ef38df1d953f0dfd0dd899d6f1', 'https://bs.plantnet.org/image/s/a56ce9946a2507a7f6d9f070c82640a14017825f', 'https://bs.plantnet.org/image/s/94238defe5b6fe4582bd0154e81a911153e47281', 'https://api.plantnet.org/v1/gbif/5340379/map.png']",69,37,,
Gigantochloa atter (Hassk.) Kurz,perrèng kèles,เกิดอะไรขึ้น,perrenes บางส่วน,gigantochloa,poaceae,"['https://bs.plantnet.org/image/s/71700232bbf7edb4dee63cf0a257545c80880f83', 'https://bs.plantnet.org/image/s/757a3aa5fb161c4fa7c812cf21e0c1bb3a8ae275', 'https://bs.plantnet.org/image/s/1257b9e40a80ad000c05db4e8bb7538a6b535b42', 'https://bs.plantnet.org/image/s/4961daeac762c62e64df700943311fdb1cd515c8', 'https://bs.plantnet.org/image/s/a5264f901c61772dae06129da369cd94b24c9382', 'https://api.plantnet.org/v1/gbif/4931908/map.png']",6,1,,
Girardinia diversifolia (Link) Friis,himalayan-nettle,หิมาลัยตำแย,ตาข่ายหิมาลัย,girardinia,urticaceae,"['https://bs.plantnet.org/image/s/29802fd073245987027fa2754177852236c1416e', 'https://bs.plantnet.org/image/s/501ae5889215c865f08fa0e2cf7f8d9d9d4f1b50', 'https://bs.plantnet.org/image/s/bec9953f0491ffe95d9c08513e2194172ad7589f', 'https://bs.plantnet.org/image/s/3574f7ef5ae58d6a75f9b3acd517e8ca697a9d49', 'https://bs.plantnet.org/image/s/2f4e574335b088c5266dd6148b8a363a77f628fa', 'https://api.plantnet.org/v1/gbif/7300847/map.png']",70,36,,
Gironniera nervosa Planch.,,,,gironniera,cannabaceae,"['https://bs.plantnet.org/image/s/011356493a303c15aacfd14d84090990cd260b42', 'https://bs.plantnet.org/image/s/421995bafa09c7da0911d6c384a6c96089cbaf53', 'https://bs.plantnet.org/image/s/3d54401e946e55a33a3666f89aa08899131fe5f6', 'https://bs.plantnet.org/image/s/c26aa69ee8ef075c0a8c3be8d5e3657590493608', 'https://bs.plantnet.org/image/s/d7e097dffa8b33b8f538bfc7902f359f35934c94', 'https://api.plantnet.org/v1/gbif/4159442/map.png']",LC,10,,
Gironniera subaequalis Planch.,,,,gironniera,cannabaceae,"['https://bs.plantnet.org/image/s/00cb0c763483005adf35499055b8b85887fac07d', 'https://bs.plantnet.org/image/s/ce805a7817172421d439f5fb53cbcc14b9497efa', 'https://api.plantnet.org/v1/gbif/4159324/map.png']",LC,2,,
Gleditsia sinensis Lam.,chinese honey-locust,ตั๊กแตนน้ำผึ้งจีน,น้ำผึ้งจีน,gleditsia,fabaceae,"['https://bs.plantnet.org/image/s/57cef6aa583276393db5ef8ae3d332f66ea5d185', 'https://bs.plantnet.org/image/s/cd19a8b0fdc8d833063982ab4efc9f301d00895e', 'https://bs.plantnet.org/image/s/75c606710de97cf83f296762e3366233714069f8', 'https://bs.plantnet.org/image/s/78ca358859b565584e13a58cdd52002280f742fc', 'https://bs.plantnet.org/image/s/41da32db7fa70a0afb40a8b31c2389dbc2ba0ba4', 'https://api.plantnet.org/v1/gbif/2959509/map.png']",LC,114,,
Gleditsia triacanthos L.,honey-locust,น้ำผึ้งตั๊กแตน,น้ำผึ้ง,gleditsia,fabaceae,"['https://bs.plantnet.org/image/s/85f590d2bea3494204c0ed52f2198b72c79cc913', 'https://bs.plantnet.org/image/s/32af2bfa7322a83e5d561001f05e9bf729e9fcb7', 'https://bs.plantnet.org/image/s/81f1ce322b8a4e957967cfc8cd39d7d26a208c89', 'https://bs.plantnet.org/image/s/4a400e084f5fef27d35447c9f180ac77472148b7', 'https://bs.plantnet.org/image/s/fb41e3e08407a1d98b6f38b724310ecad391baf9', 'https://api.plantnet.org/v1/gbif/2959443/map.png']",LC,12607,,
Glinus oppositifolius (L.) Aug.DC.,slender carpetweed,พรมพรมเรียว,พรมเรียว,glinus,molluginaceae,"['https://bs.plantnet.org/image/s/91ebbe2068d480f8720e9348d6c22e1e084d7b10', 'https://bs.plantnet.org/image/s/1e03b7f71a9ef8b921722dacbbd56699c16fd0eb', 'https://bs.plantnet.org/image/s/8e8a17096c0013ddc8c53015a0481170abaa90c2', 'https://bs.plantnet.org/image/s/82827a50241fd2498d9419a0d21c85f61c786e53', 'https://bs.plantnet.org/image/s/5f92f8c69aee7febc53ece5f94b36de24b8b2aa9', 'https://api.plantnet.org/v1/gbif/7548362/map.png']",LC,26,,
Gliricidia sepium (Jacq.)Walp.,gliricidia,กลิริซิเดีย,กลีลิกิด,gliricidia,fabaceae,"['https://bs.plantnet.org/image/s/178a6b84166b46647677a75a9942326a41f068bf', 'https://bs.plantnet.org/image/s/a4f281517b2e82f68265e508bcb31af184e03ea7', 'https://bs.plantnet.org/image/s/9dcd7f1acae09fc15d4a44063a5b3f252cb3f654', 'https://bs.plantnet.org/image/s/475a9bf33718119f89c2e7a093f67a6eed8dfd5b', 'https://bs.plantnet.org/image/s/23ecc59ee14de7cbf58f8913c429738551c299af', 'https://api.plantnet.org/v1/gbif/2953986/map.png']",LC,26,,
Globba marantina L.,,,,globba,zingiberaceae,"['https://bs.plantnet.org/image/s/cb7116702084050ed89512352b7ca9fbe07c9034', 'https://bs.plantnet.org/image/s/6c593794ef1bea5e8d77d4779655dab52bf60940', 'https://bs.plantnet.org/image/s/8ed8a070cc627f29e72db7ac03256c1bff17ab4d', 'https://bs.plantnet.org/image/s/6aae922046eedf9501607d2d6aab58a8e7573355', 'https://bs.plantnet.org/image/s/e5825ee8021707b7ed48d46572e0e5af75c0baf0', 'https://api.plantnet.org/v1/gbif/2757840/map.png']",LC,28,,
Globba pendula Roxb.,,,,globba,zingiberaceae,"['https://bs.plantnet.org/image/s/55f5c2aaa03c252d8bd3392cb898e2aced0ddaed', 'https://bs.plantnet.org/image/s/52755977be75cc269a3657daab0efe584ff4b467', 'https://api.plantnet.org/v1/gbif/2757900/map.png']",LC,2,,
Glochidion rubrum Blume,,,,glochidion,phyllanthaceae,"['https://bs.plantnet.org/image/s/9c192a609c24104a7ac0f0fa4a4d50e1837a9edc', 'https://bs.plantnet.org/image/s/796afa8d9fefa240b5b47337e80b9621eedc4e09', 'https://bs.plantnet.org/image/s/985dbe3005ddfc924e0e8cab60ed456682dd4e32', 'https://bs.plantnet.org/image/s/dbce52abb0327d1ac139cfe9fa97798a32b367e9', 'https://bs.plantnet.org/image/s/c17c68dbf097f6d6c9d10b564155a12ea3e3cfbd', 'https://api.plantnet.org/v1/gbif/3080882/map.png']",LC,5,,
Glochidion superbum Baill. ex Müll.Arg.,,,,glochidion,phyllanthaceae,"['https://bs.plantnet.org/image/s/eec4a4c6bd6ec221922e07cc943727c3649a393b', 'https://api.plantnet.org/v1/gbif/3080342/map.png']",LC,1,,
Gloriosa superba L.,flame lily,ลิลลี่เปลวไฟ,เปลวไฟลิลลี่,gloriosa,colchicaceae,"['https://bs.plantnet.org/image/s/203917a63309cd790b8ddc4ae87cd6778b4fda37', 'https://bs.plantnet.org/image/s/a29302767a94ebb9d1dc6ae0fab55b68e2f60219', 'https://bs.plantnet.org/image/s/580279db48e7cf06264395a9b61d2032d5d47bdc', 'https://bs.plantnet.org/image/s/9e8147bc902a4bc03e3396dcd58647662f0cdaf2', 'https://bs.plantnet.org/image/s/77ae92fa0fcd0b328d9d74a289846dd2d14584ea', 'https://api.plantnet.org/v1/gbif/2740024/map.png']",LC,1224,,
Gluta aptera (King) Ding Hou,rengas paya,หนองบึง,Rengas Swamp,gluta,anacardiaceae,"['https://bs.plantnet.org/image/s/cb1b8c95fcd89996f410ba87acae3e18f81d3539', 'https://bs.plantnet.org/image/s/ed580563cc5e08e6eed37089bb20f38a3d11e129', 'https://bs.plantnet.org/image/s/18e5138def5101989dead668f7481d8bfce7b3af', 'https://api.plantnet.org/v1/gbif/3662621/map.png']",LC,3,,
Gluta renghas L.,rengas,แหวน,แหวน,gluta,anacardiaceae,"['https://bs.plantnet.org/image/s/130a1ca0ec1b451289cce48fc0a65aaaaf88c90f', 'https://api.plantnet.org/v1/gbif/3190574/map.png']",NT,1,,
Gluta rostrata Ding Hou,,,,gluta,anacardiaceae,"['https://bs.plantnet.org/image/s/3944e58ff1f1a5012342d61788b492e0a54b2826', 'https://bs.plantnet.org/image/s/baa244d8075eb28a7cc5db989cdef3968fdacd1c', 'https://bs.plantnet.org/image/s/8be39cbd92cccf9b7d0d73c4d30a5b7ab274801b', 'https://api.plantnet.org/v1/gbif/3662400/map.png']",3,1,,
Gluta wallichii (Hook.f.) Ding Hou,rengas,แหวน,แหวน,gluta,anacardiaceae,"['https://bs.plantnet.org/image/s/f7fc813983fed5c11ad06413ebfc8344be36a407', 'https://bs.plantnet.org/image/s/ea6d888587717d6a5d988535edf1d045e39767f5', 'https://api.plantnet.org/v1/gbif/7321890/map.png']",LC,2,,
Glycine max (L.) Merr.,soybean,ถั่วเหลือง,ถั่วเหลือง,glycine,fabaceae,"['https://bs.plantnet.org/image/s/2196535286fa46c825957d247827d565f5c1ee14', 'https://bs.plantnet.org/image/s/2731809b11956f76053179be4d48d3ec37bc2d41', 'https://bs.plantnet.org/image/s/d845c849702b324fac8819636f14e09fc03a38b3', 'https://bs.plantnet.org/image/s/2b8ac82ddf12bcc8628871aae85347129d851384', 'https://bs.plantnet.org/image/s/0c38a7aeb1161d6096921d20485f3835197d9256', 'https://api.plantnet.org/v1/gbif/5359660/map.png']",2583,2249,,
Glycosmis pentaphylla (Retz.) DC.,gin berry,จินเบอร์รี่,จินเบอร์รี่,glycosmis,rutaceae,"['https://bs.plantnet.org/image/s/983887d44eb68e0ee390a3e8a4d51c30d195a10e', 'https://bs.plantnet.org/image/s/09662e36a846f9d65a143127b43f092b10db8db2', 'https://bs.plantnet.org/image/s/8b44f2bb2fcca0caaba34abbb5bf382fa1e8438d', 'https://bs.plantnet.org/image/s/c3df066f4694bba291dcb5c716df1b5b4deaf1bd', 'https://bs.plantnet.org/image/s/8b2d81fec2d5b62597e378f4c46d5b844714fa30', 'https://api.plantnet.org/v1/gbif/3832728/map.png']",LC,21,,
Gmelina arborea Roxb.,malay bush-beech,พุ่มไม้มาเลย์ - บีช,มลายู Bush-Beech,gmelina,lamiaceae,"['https://bs.plantnet.org/image/s/b673ffd43953cc30a0f6b74e4afb532b45fd23fa', 'https://bs.plantnet.org/image/s/acf2a03c104cd0ac02eadd64d25ec87666e29a65', 'https://bs.plantnet.org/image/s/b6ba39882c59a1627b43de1581838b8a4d7cdfff', 'https://bs.plantnet.org/image/s/f2efbcba0b1249a61e0d3fa0469b91213537994d', 'https://bs.plantnet.org/image/s/d8b09a33b0bf4434c22a8a6889edb57ad459eeb8', 'https://api.plantnet.org/v1/gbif/5341167/map.png']",LC,286,,
Gmelina asiatica L.,asian bushbeech,พุ่มไม้เอเชีย,Asian Bushbeech,gmelina,lamiaceae,"['https://bs.plantnet.org/image/s/7f550fe8d9a29ef07eccd31d7acc1dd661fccfdf', 'https://bs.plantnet.org/image/s/e9e769fd8c9f8bb63bb154c955a2231a7512adb1', 'https://bs.plantnet.org/image/s/816374a7e403402f5c261ebae2b7cdeefc201a0e', 'https://bs.plantnet.org/image/s/e3603f8e5b541fbcdb3c7394c6263bef10ed03d2', 'https://bs.plantnet.org/image/s/e30cc8bc3e5b4fc57de725602fd9d3bbe7b593cf', 'https://api.plantnet.org/v1/gbif/5341168/map.png']",LC,6,,
Gmelina fasciculiflora Benth.,northern white beech,บีชเหนือ,บีชสีขาวเหนือ,gmelina,lamiaceae,"['https://bs.plantnet.org/image/s/4b9a2e032c4f69c1fc16e62b5eb298fc645d93a3', 'https://bs.plantnet.org/image/s/de374d9f5ca3bb7e5aea4b1a9ff51a1355762a53', 'https://bs.plantnet.org/image/s/951f006e7db989f98523ae095e7ce44cc8d733b6', 'https://api.plantnet.org/v1/gbif/5607688/map.png']",3,1,,
Gmelina philippensis Cham.,wild sage,ปราชญ์ป่า,ปราชญ์ป่า,gmelina,lamiaceae,"['https://bs.plantnet.org/image/s/ff22f8d037cca199036be657cf94bf8d55a468e4', 'https://bs.plantnet.org/image/s/320f133d61e40b473a0641f8578a3466720526b9', 'https://bs.plantnet.org/image/s/ba51b02ca482bfaa8382191c13ee14b35fb47988', 'https://bs.plantnet.org/image/s/7520a95abb70ddc8fedb996d066db1d3467f9a5b', 'https://bs.plantnet.org/image/s/f3e3a3cdf2f1c5a5cc165966eb3e37149b9caa36', 'https://api.plantnet.org/v1/gbif/6410769/map.png']",LC,136,,
Gnetum gnemon L.,spanish joint-fir,ข้อต่อสเปนเฟอร์,ร่วมกับสเปน,gnetum,gnetaceae,"['https://bs.plantnet.org/image/s/5f59ad526d1e769524c5fdf7267fbbf654bcefa2', 'https://bs.plantnet.org/image/s/83cb0e5b57b918d1ba78fcdd63f454d4edf54640', 'https://bs.plantnet.org/image/s/492f3641ec9d4887fe1619095a351fb028a87c0d', 'https://bs.plantnet.org/image/s/f6535323cdf7f3d22f47ddc0a99c510211e0b493', 'https://bs.plantnet.org/image/s/72fc2f1b5f4784dfaccadcd6133d27ca7915bf63', 'https://api.plantnet.org/v1/gbif/2653133/map.png']",LC,96,,
Gonocaryum litorale (Blume) Sleumer,,,,gonocaryum,cardiopteridaceae,"['https://bs.plantnet.org/image/s/0111ec6558811e1af33f8ddca2427775e8fde132', 'https://bs.plantnet.org/image/s/e953bc0f547bf79516e3beb6829dd8bde2c10c97', 'https://bs.plantnet.org/image/s/856dc1689851ff1c7a3532761f659d83c9cea087', 'https://api.plantnet.org/v1/gbif/3597074/map.png']",LC,3,,
Gonystylus confusus Airy Shaw,ramin,ราเมน,รามิน,gonystylus,thymelaeaceae,"['https://bs.plantnet.org/image/s/b9a39f3f2cbe138b3c5d6ceb2aaeac3b14528e08', 'https://bs.plantnet.org/image/s/7a6ed31626416ca3962d7a4b1eae1103e7b2890e', 'https://bs.plantnet.org/image/s/557e48277f9eb4f3ed0f75ef9dae51462fa4fe60', 'https://bs.plantnet.org/image/s/f9818c3e8ebe0298b14da775c001170f011a481d', 'https://api.plantnet.org/v1/gbif/3568794/map.png']",LC,4,,
Gouania javanica Miq.,,,,gouania,rhamnaceae,"['https://bs.plantnet.org/image/s/728db060789d845743024d9d4912f17f45220563', 'https://api.plantnet.org/v1/gbif/5603003/map.png']",1,1,,
Grammatophyllum scriptum (L.) Blume,bell orchid,กล้วยไม้ระฆัง,กล้วยไม้ระฆัง,grammatophyllum,orchidaceae,"['https://bs.plantnet.org/image/s/55dca65b0af0f3237172df11cff52dd26a535654', 'https://bs.plantnet.org/image/s/6a5a6a84ef78ef813060e45c59c6d72c350b0aa2', 'https://bs.plantnet.org/image/s/38b23b0784976cf1fc89239d60461605caca3527', 'https://bs.plantnet.org/image/s/e7b1bd6608183cabe32657bb124bd54d2fcfdee6', 'https://bs.plantnet.org/image/s/8be2e9e28ab98cecfae8ca21c22c212dcc41b84c', 'https://api.plantnet.org/v1/gbif/2821306/map.png']",16,11,,
Grammatophyllum speciosum Blume,tiger orchid,กล้วยไม้เสือ,Tiger Orchid,grammatophyllum,orchidaceae,"['https://bs.plantnet.org/image/s/2cc0993171ae5b624e300475a39dc1c036d8415d', 'https://bs.plantnet.org/image/s/584b08cf556ac2acc65e31231bbb1962a1822c2b', 'https://bs.plantnet.org/image/s/5b41aab0c0ade59ee1758e67ecb5bc18823c86ba', 'https://bs.plantnet.org/image/s/b154a1fc6fd55cd9164421c012c7e441bfbf7753', 'https://bs.plantnet.org/image/s/be27ba384e74a37823f9fa47cb77ec52f59230a4', 'https://api.plantnet.org/v1/gbif/2821296/map.png']",109,68,,
Grangea maderaspatana (L.) Poir.,madras carpet,พรมมาดราส,พรมมัทราส,grangea,asteraceae,"['https://bs.plantnet.org/image/s/c89083e2916d1792b6a4456dee1936b0363410cc', 'https://bs.plantnet.org/image/s/cb66994ee903467a03b0021072365d7cfc56a15f', 'https://bs.plantnet.org/image/s/7f67840db1dc4dc8606e6b5dc9c6eb1f45173c21', 'https://bs.plantnet.org/image/s/e9f3f31e878b3b8fa91880c96eced5f12bd0583e', 'https://bs.plantnet.org/image/s/2880cf81a49a09c8c0363ccd0eabcbea71f5981e', 'https://api.plantnet.org/v1/gbif/8028873/map.png']",LC,37,,
Grevillea baileyana McGill.,white-oak,สีขาวโอ๊ค,โอ๊คสีขาว,grevillea,proteaceae,"['https://bs.plantnet.org/image/s/3a72808b85cec3526fa0a166bc3760a53ac2b86d', 'https://bs.plantnet.org/image/s/81f8f356272f5bc86b3c225a0736d6550620bb34', 'https://bs.plantnet.org/image/s/ee54df7448b68e0ffd422e83a4672e284b201209', 'https://bs.plantnet.org/image/s/4a4eb8c0e89ce7d5b672967e2f3fd0bbe97721c6', 'https://bs.plantnet.org/image/s/e0fd8ae25b00184bbebd1ef3f23d37d17e3ad7e3', 'https://api.plantnet.org/v1/gbif/3995031/map.png']",LC,6,,
Grevillea banksii R.Br.,banks' grevillea,ธนาคาร# กรีวิเลีย,Grevillea ของธนาคาร,grevillea,proteaceae,"['https://bs.plantnet.org/image/s/c944a7ef723badf50a7a7e89d7803bea1ee6021c', 'https://bs.plantnet.org/image/s/dcbdc3a89d527b64d6a2f3a77a83927509555748', 'https://bs.plantnet.org/image/s/f183b6174f5a625979e1ac8aed77f007af77a9d4', 'https://bs.plantnet.org/image/s/40ae789b389dd06708cfb1a09b5e9352e2fc4a81', 'https://bs.plantnet.org/image/s/011b6fdd5d757216d04621bb960ea53a4e2832a1', 'https://api.plantnet.org/v1/gbif/2891792/map.png']",LC,1022,,
Grevillea pteridifolia Knight,golden grevillea,กรีวิเลียสีทอง,Golden Graville,grevillea,proteaceae,"['https://bs.plantnet.org/image/s/40d48fd9427780ea99e9b576f7f0e827510cbb38', 'https://bs.plantnet.org/image/s/61b6ce7119354491779e3ff4c34b98970decf116', 'https://bs.plantnet.org/image/s/7729682d1cc1e64876d4c7ac6667767bfeb58dc8', 'https://bs.plantnet.org/image/s/bdd34c937176978c9f953b51ff330f78a68814ad', 'https://bs.plantnet.org/image/s/dbddfd5cd8fc04c80ffaca407a6467c89dc122a0', 'https://api.plantnet.org/v1/gbif/7287734/map.png']",LC,61,,
Grevillea robusta A.Cunn. ex R.Br.,australian silky-oak,ออสเตรเลียซิลกี้โอ๊ค,Australian Silky-Oak,grevillea,proteaceae,"['https://bs.plantnet.org/image/s/c51202db348f131610fca57d87c3a6f22e08c31f', 'https://bs.plantnet.org/image/s/ca35a9506bf008bb0d123afcd6f0885383504e63', 'https://bs.plantnet.org/image/s/433c39a86c0b70da6795301506427e58d3b12518', 'https://bs.plantnet.org/image/s/ba7fd27fbb1335380abcc58df42aa03b0d8cc52e', 'https://bs.plantnet.org/image/s/e2ceb9f07095b31c9741bf1d285dd08312ea805a', 'https://api.plantnet.org/v1/gbif/2891791/map.png']",LC,3344,,
Grewia asiatica L.,phalsa,พัลซา,phalsa,grewia,malvaceae,"['https://bs.plantnet.org/image/s/8ba43b660de37359d129f60fb4d528c5a116d0ca', 'https://bs.plantnet.org/image/s/edcc16b96aa754c3ae1c89d7439cf230e2c404fc', 'https://bs.plantnet.org/image/s/a22d831d542adb9ad0fbea7e65c05096e0e43512', 'https://bs.plantnet.org/image/s/60efc6bc8fa3eecc33cdf0645dd0bc38cf51cfa7', 'https://bs.plantnet.org/image/s/fd5aa3b2a4b1458860ed871716a156186794eb0a', 'https://api.plantnet.org/v1/gbif/3152080/map.png']",LC,89,,
Grewia hirsuta Vahl,,,,grewia,malvaceae,"['https://bs.plantnet.org/image/s/28681f57534be12bfe1d28ae52ef79320c795670', 'https://bs.plantnet.org/image/s/6fb5386fa9193d0a72b8ee2c2895dfdc166ba9e1', 'https://bs.plantnet.org/image/s/c66553b0ea8441fec643895dccc63cd7e9454b6b', 'https://bs.plantnet.org/image/s/e873b00d1815d72bf3012e01d343517fe18b4b17', 'https://bs.plantnet.org/image/s/88e3195e3e925e19cfd6cce6ed8a75e14f2e32ee', 'https://api.plantnet.org/v1/gbif/4259716/map.png']",LC,11,,
